path,class_name,class_idx
Dataset_Combined/happy/ffhq_2025.png,Happy,1
Dataset_Combined/Anger/image0025420.jpg,Anger,6
Dataset_Combined/Contempt/image0018041.jpg,Contempt,7
Dataset_Combined/fear/image0036652.jpg,Fear,4
Dataset_Combined/sad/image0019330.jpg,Sad,2
Dataset_Combined/neutral/ffhq_4049.png,Neutral,0
Dataset_Combined/surprise/image0027674.jpg,Surprise,3
Dataset_Combined/surprise/image0034879.jpg,Surprise,3
Dataset_Combined/Contempt/image0040174.jpg,Contempt,7
Dataset_Combined/Contempt/image0037610.jpg,Contempt,7
Dataset_Combined/Contempt/ffhq_74.png,Contempt,7
Dataset_Combined/sad/image0024106.jpg,Sad,2
Dataset_Combined/surprise/image0032171.jpg,Surprise,3
Dataset_Combined/Contempt/image0041281.jpg,Contempt,7
Dataset_Combined/happy/ffhq_3042.png,Happy,1
Dataset_Combined/Anger/image0024446.jpg,Anger,6
Dataset_Combined/neutral/ffhq_4615.png,Neutral,0
Dataset_Combined/disgust/image0040457.jpg,Disgust,5
Dataset_Combined/Anger/image0026269.jpg,Anger,6
Dataset_Combined/Anger/image0019423.jpg,Anger,6
Dataset_Combined/surprise/ffhq_419.png,Surprise,3
Dataset_Combined/happy/ffhq_862.png,Happy,1
Dataset_Combined/Contempt/image0034988.jpg,Contempt,7
Dataset_Combined/sad/image0026793.jpg,Sad,2
Dataset_Combined/Contempt/ffhq_8.png,Contempt,7
Dataset_Combined/neutral/ffhq_1076.png,Neutral,0
Dataset_Combined/fear/image0038349.jpg,Fear,4
Dataset_Combined/surprise/image0033073.jpg,Surprise,3
Dataset_Combined/sad/image0000372.jpg,Sad,2
Dataset_Combined/happy/ffhq_3840.png,Happy,1
Dataset_Combined/Anger/image0027700.jpg,Anger,6
Dataset_Combined/surprise/ffhq_385.png,Surprise,3
Dataset_Combined/neutral/ffhq_4539.png,Neutral,0
Dataset_Combined/sad/image0029072.jpg,Sad,2
Dataset_Combined/sad/image0026563.jpg,Sad,2
Dataset_Combined/disgust/image0039174.jpg,Disgust,5
Dataset_Combined/happy/ffhq_3053.png,Happy,1
Dataset_Combined/sad/image0028790.jpg,Sad,2
Dataset_Combined/Anger/image0025347.jpg,Anger,6
Dataset_Combined/happy/ffhq_664.png,Happy,1
Dataset_Combined/Contempt/image0025041.jpg,Contempt,7
Dataset_Combined/neutral/ffhq_4388.png,Neutral,0
Dataset_Combined/neutral/ffhq_4400.png,Neutral,0
Dataset_Combined/surprise/ffhq_580.png,Surprise,3
Dataset_Combined/surprise/image0027645.jpg,Surprise,3
Dataset_Combined/disgust/image0041302.jpg,Disgust,5
Dataset_Combined/neutral/ffhq_2283.png,Neutral,0
Dataset_Combined/surprise/ffhq_399.png,Surprise,3
Dataset_Combined/happy/ffhq_1255.png,Happy,1
Dataset_Combined/fear/image0037127.jpg,Fear,4
Dataset_Combined/surprise/image0031344.jpg,Surprise,3
Dataset_Combined/surprise/image0022591.jpg,Surprise,3
Dataset_Combined/surprise/image0024426.jpg,Surprise,3
Dataset_Combined/happy/ffhq_1700.png,Happy,1
Dataset_Combined/sad/image0000986.jpg,Sad,2
Dataset_Combined/sad/image0029568.jpg,Sad,2
Dataset_Combined/happy/ffhq_680.png,Happy,1
Dataset_Combined/neutral/ffhq_4553.png,Neutral,0
Dataset_Combined/surprise/image0034754.jpg,Surprise,3
Dataset_Combined/Contempt/image0038404.jpg,Contempt,7
Dataset_Combined/neutral/ffhq_2431.png,Neutral,0
Dataset_Combined/Anger/image0022443.jpg,Anger,6
Dataset_Combined/Contempt/image0020163.jpg,Contempt,7
Dataset_Combined/Anger/image0030742.jpg,Anger,6
Dataset_Combined/fear/image0037169.jpg,Fear,4
Dataset_Combined/fear/image0038181.jpg,Fear,4
Dataset_Combined/Anger/image0027717.jpg,Anger,6
Dataset_Combined/surprise/ffhq_641.png,Surprise,3
Dataset_Combined/Anger/image0028116.jpg,Anger,6
Dataset_Combined/surprise/image0002780.jpg,Surprise,3
Dataset_Combined/disgust/image0032140.jpg,Disgust,5
Dataset_Combined/neutral/ffhq_906.png,Neutral,0
Dataset_Combined/Anger/image0028360.jpg,Anger,6
Dataset_Combined/neutral/ffhq_2436.png,Neutral,0
Dataset_Combined/disgust/image0038773.jpg,Disgust,5
Dataset_Combined/sad/image0008704.jpg,Sad,2
Dataset_Combined/neutral/ffhq_240.png,Neutral,0
Dataset_Combined/Contempt/image0030482.jpg,Contempt,7
Dataset_Combined/Contempt/image0039726.jpg,Contempt,7
Dataset_Combined/happy/ffhq_2101.png,Happy,1
Dataset_Combined/neutral/ffhq_2459.png,Neutral,0
Dataset_Combined/fear/image0039248.jpg,Fear,4
Dataset_Combined/fear/image0034295.jpg,Fear,4
Dataset_Combined/Anger/image0019415.jpg,Anger,6
